,mark,review_text,date
0,2,"
ИП Боровик Ю.В. Ялта Всем здравствуйте! Спешу поделиться впечатлениями от отдыха в апреле 2023 года в прекрасном курортном городе Ялта. Прекрасная погода, настроение и .... жадность местных предпринимателей! Даже не жадность, а хамство! Есть по улице Пушкинской ряд торговых точек, среди которых располагается кофейня Latteria принадлежащая ИП Боровик Юлии Викторовне. 19 апреля сего года, ознакомившись с расценками, я заказал классический (200 мл) Флэт Уайт за 120 рублей. Протянув продавцу деньги, услышал о повышении стоимости до 150 рублей. С улыбкой, не ругаться же из-за такой мелочи как указанные расценки, передал продавцу деньги. Каково же было мое удивление, когда в чеке обнаружил  Флэт Уайт с амаретто ёмкостью 400 мл.Не жалко денег - обидно.

",19 апреля 2023
1,10,"
Поход на Учан Су Были на водопаде 10 февраля. Очень завораживающее зрелище. 
      
      
",10 февраля 2023
2,10,"
здравствуйте,по крыму 17 лет отдыхаю,подходит по здоровью,крым весь красив,не когда не замечал минусы а наслаждался морем природой и путешествовал автобусами.скажу одно,не волнуйтесь при выборе жилья оно есть в любое время,я еду в июле по 15 августа чуть больше месяца и всегда находил не плохое жилье.совет ,оплатите жилье дней на  пять сошлитесь найдите причину типа снимем с карты и тому подобное ,посмотрите что за хозяева,осмотритесь во круге если что вещи в руки и долой,а если всю сумму отдадите и что то не устроило,денег не видать или вычет будет огромный,а если все хорошо то и хорошо.это из своего опыта помогло раза два.а так крым прекрасный семииз мисхор подъемы крутые ,цены высокие,а так красота .евпатория очень нравиться и цены и природа и город,алушта хороша,рынок люблю торгуюсь помидоры вкуснятина.желаю всем хорошего отдыха.напомню это мое мнение с уважениемИгорь
      
      
",26 декабря 2022
3,10,"
Одним словом - это отдых! Путешествовали по Крыму в сентябре 2022, решили испытать на себе бархат сезона)). Сам Крым- это чудо! Природа шикарная, люди отзывчивые, цены приемлемые(смотря где конечно). И если планировать, то можно хорошо и недорого отдохнуть. Мы были в трех местах по 3 дня начиная с запада, продвигаясь от Штормового по ЮБК в сторону Крымского моста. Так вот о сезоне - бархатный - это спорный вопрос: то что не многолюдно - это класс!, не люблю толкотню. А вот погодка подкачала - море было теплей чем воздух, и это начало сентября, зато совсем без дождей. Загорать прохладненько, а вот прогулки в самый раз. Так что каждому решать, что он больше любит и в какой сезон посетить Крым, но посетить однозначно!))
      
      
",11 ноября 2022
4,10,"
крым -так выглядит русская душа. Всем доброго дня.я всегда много путешествую, но самые яркие впечатления у меня о КРЫМЕ.невероятный полуостров Крым прекрасен в любой сезон .Если разработать план посещения достопримечательностей то это будет незабываемый отдых.я отдыхала и в степном крыму и горном .Больше всего конечно меня покорила Ялта:парки,театр,музеи,сады,набережная,кухня,а самое главное очень добрые люди.А О ДОСТОПРИМЕЧАТЕЛЬНОСТЯХ И ГОВОРИТЬ НЕ ПЕРЕГОВОРИТЬ(дворцы это то же наша культура ,история и красота русской души). В ноябре 2022 буду в Кориезе отдыхать -если честно боюсь ,что запланировала не успею.но я знаю что я обязательно вернусь в Крым и буду им наслаждаться многие годы.
      
      
",25 октября 2022
5,10,"
Город курорт Саки- лечение и отдых!!! Советую поехать в город Саки.для хорошего отдыха и поправки здоровья. Грязевое озеро отлично для лечения суставов и хандрозов. Лечиться можно и в санатории и отдельно ходить на процедуры. Можно и самим на озеро .но после консультации с врачем из санатория.рядом Евпатория и Симферополь. Есть что посмотреть и куда сьездить на экскурсии. Питание в столовых разнообразное и вкусное.И конечно же море !!! Жилье советую снимпть на побережье. Чтобы вечером не только танцевать на площадках но и дышать морским воздухом.
      
      
",17 октября 2022
6,10,"
Самый лучший город Южного берега Крыма. Алушта соединила в себе все,что необходимо для туристов: инфраструктура,море,пляж, развлечения и экскурсии. Стоимость очень приемлемая 
      
      
",17 октября 2022
7,1,"
Грязный город, сервиса ноль Отдыхаем сейчас в Феодосии, город грязный, море так себе, везде бомжи, алкашня, в общем гадюшник, большая деревня.
      
      
",21 сентября 2022
8,1,"
Ничего хорошего, пустая трата денег Лучше съездите в Сочи! Сплошная помойка, попрошайки, которые стремятся продать все, что им не угодно, а если вы не покупаете, то злятся и бубнят. Никакого сервиса, один обман. Мы многодетная семья, у нас льготы, что очень всех раздражало. Всякими путями, включая бюрократию, пытались заставить покупать полные билеты. Люди вообще злые какие то, обиженные на что-то там, конечно, есть и хорошие. Но, очень некоторые местные мне были непонятны. Взяла котенка уличного на руки, какая то женщина его молча выхватила из рук и выбросила в контейнер и быстро удалилась. Цены огромны, оплата по картам часто не проходит или ее не принимают. Вообщем, кроме природной красоты, ничего хорошего.
      
      
",21 сентября 2022
9,10,"
5 дней в Севастополе. В городе 4й раз, жила на Радиогорке, Северная сторона. Пляж дикий Толстяк или в пос Учкуевка. Ну что сказать. На Северной стороне живут дачники, все тихо и размеренно, низкие цены, чистейшее и спокойное море, огромный песчаный пляж Учкуевки. Толстяк на крупной гальке и с крутым спуском. 2 варианта катера на другую сторону. Карты принимают везде, кроме бабушек на рынке🤣 местные очень приветливые, воспитанные и сдержанные. Жд вокзал города «федерального значения» убил. Нет элементарного кафе, даже кофе-автомата, туалет на улице, о кондее можно только мечтать, крутая огромная лестница к вокзалу, пандуса для чемодана нет, это жесть… Перед вокзалом есть столовая, на остановке почти, обедала там. Жаркое в горшочке и томатный сок стоил 220 руб. Думала, что таких цен уже нет😆 не вижу смысла описывать город. Слава Богу, дороги и набережные ремонтируются, город хорошеет с каждым годом! Есть куда сходить/съездить или на катере по бухтам. Ездили и будем ездить сюда, всем врагам назло! 
      
      
",09 сентября 2022
