,mark,review_text,date
0,2," ип боровик ю.в. ялта всем здравствуйте! спешу поделиться впечатлениями отдыха апреле 2023 года прекрасном курортном городе ялта. прекрасная погода, настроение .... жадность местных предпринимателей! не жадность, хамство! улице пушкинской ряд торговых точек, среди которых располагается кофейня latteria принадлежащая ип боровик юлии викторовне. 19 апреля сего года, ознакомившись расценками, заказал классический (200 мл) флэт уайт 120 рублей. протянув продавцу деньги, услышал повышении стоимости 150 рублей. улыбкой, не ругаться из-за мелочи указанные расценки, передал продавцу деньги. каково мое удивление, чеке обнаружил флэт уайт амаретто ёмкостью 400 мл.не жалко денег - обидно. ",19 апреля 2023
1,10, поход учан су водопаде 10 февраля. очень завораживающее зрелище. ,10 февраля 2023
2,10," здравствуйте,по крыму 17 лет отдыхаю,подходит здоровью,крым весь красив,не не замечал минусы наслаждался морем природой путешествовал автобусами.скажу одно,не волнуйтесь выборе жилья оно любое время,я еду июле 15 августа месяца находил не плохое жилье.совет ,оплатите жилье дней пять сошлитесь найдите причину типа снимем карты тому подобное ,посмотрите хозяева,осмотритесь круге вещи руки долой,а сумму отдадите не устроило,денег не видать вычет огромный,а хорошо.это своего опыта помогло раза два.а крым прекрасный семииз мисхор подъемы крутые ,цены высокие,а красота .евпатория очень нравиться цены природа город,алушта хороша,рынок люблю торгуюсь помидоры вкуснятина.желаю всем хорошего отдыха.напомню это мое мнение уважениемигорь ",26 декабря 2022
3,10," одним словом - это отдых! путешествовали крыму сентябре 2022, решили испытать бархат сезона)). крым- это чудо! природа шикарная, люди отзывчивые, цены приемлемые(смотря конечно). планировать, недорого отдохнуть. трех местах 3 дня начиная запада, продвигаясь штормового юбк сторону крымского моста. сезоне - бархатный - это спорный вопрос: не многолюдно - это класс!, не люблю толкотню. погодка подкачала - море теплей воздух, это начало сентября, зато дождей. загорать прохладненько, прогулки самый раз. каждому решать, любит сезон посетить крым, посетить однозначно!)) ",11 ноября 2022
4,10," крым -так выглядит русская душа. всем доброго дня.я путешествую, самые яркие впечатления крыме.невероятный полуостров крым прекрасен любой сезон .если разработать план посещения достопримечательностей это незабываемый отдых.я отдыхала степном крыму горном .больше покорила ялта:парки,театр,музеи,сады,набережная,кухня,а самое главное очень добрые люди.а достопримечательностях говорить не переговорить(дворцы это наша культура ,история красота русской души). ноябре 2022 буду кориезе отдыхать -если честно боюсь ,что запланировала не успею.но знаю обязательно вернусь крым буду наслаждаться многие годы. ",25 октября 2022
5,10, город курорт саки- лечение отдых!!! советую поехать город саки.для хорошего отдыха поправки здоровья. грязевое озеро отлично лечения суставов хандрозов. лечиться санатории отдельно ходить процедуры. самим озеро .но консультации врачем санатория.рядом евпатория симферополь. посмотреть сьездить экскурсии. питание столовых разнообразное вкусное.и море !!! жилье советую снимпть побережье. вечером не танцевать площадках дышать морским воздухом. ,17 октября 2022
6,10," самый лучший город южного берега крыма. алушта соединила все,что необходимо туристов: инфраструктура,море,пляж, развлечения экскурсии. стоимость очень приемлемая ",17 октября 2022
7,1," грязный город, сервиса ноль отдыхаем феодосии, город грязный, море себе, везде бомжи, алкашня, общем гадюшник, большая деревня. ",21 сентября 2022
8,1," хорошего, пустая трата денег съездите сочи! сплошная помойка, попрошайки, которые стремятся продать все, не угодно, не покупаете, злятся бубнят. никакого сервиса, обман. многодетная семья, льготы, очень раздражало. всякими путями, включая бюрократию, пытались заставить покупать полные билеты. люди вообще злые какие то, обиженные что-то там, конечно, хорошие. но, очень некоторые местные непонятны. взяла котенка уличного руки, женщина молча выхватила рук выбросила контейнер быстро удалилась. цены огромны, оплата картам часто не проходит не принимают. вообщем, кроме природной красоты, хорошего. ",21 сентября 2022
9,10," 5 дней севастополе. городе 4й раз, жила радиогорке, северная сторона. пляж дикий толстяк пос учкуевка. сказать. северной стороне живут дачники, тихо размеренно, низкие цены, чистейшее спокойное море, огромный песчаный пляж учкуевки. толстяк крупной гальке крутым спуском. 2 варианта катера другую сторону. карты принимают везде, кроме бабушек рынке🤣 местные очень приветливые, воспитанные сдержанные. жд вокзал города федерального значения убил. нет элементарного кафе, кофе-автомата, туалет улице, кондее мечтать, крутая огромная лестница вокзалу, пандуса чемодана нет, это жесть… вокзалом столовая, остановке почти, обедала там. жаркое горшочке томатный сок стоил 220 руб. думала, таких цен нет😆 не вижу смысла описывать город. слава богу, дороги набережные ремонтируются, город хорошеет каждым годом! сходить/съездить катере бухтам. ездили будем ездить сюда, всем врагам назло! ",09 сентября 2022
10,10," парнем конце июля отеле санрайз приятно удивлены пляжем 117. фото его, конечно, видела, реале оказалось намного ярче, круче, солнечнее. шикарный пляж, песок бесподобный, вода чистая, сильных волн нет. части развлечений десять баллов десяти, очень здорово, весело оживленно. самые лучшие бананы, катались каждый день. суперский пляж, отлично время провели. ",31 августа 2022
11,10," отлично! второй приезжаем сюда из-за роскошного, огромного пляжа. отлично оборудован, чистый, опасений ходим босиком. лежаков достаточно, развлечений. году бананах скутерах накатались упаду) безопасностью полный порядок - медпункт, спасатели. семьям детьми комфортно, группам молодежи, парам, всем занять. ",29 августа 2022
12,5," красивый город превращенный помойку! ялта-город счастья! банерах, это видимо, команда мэра считает. город ухожен квартал набережной, далее трэш, мусор, старые листья, убитые тратуары, не ноги, колёса чемодана точно сломаешь. автовокзал, убитые дорожки, засраный парк одной скамейки. мэру чаще ножками родному городу ходить? жители ялты подумайте следующих выборах, кого выбирать. ",29 августа 2022
13,10," класс! самый адекватный пляж феодосии. прекрасная атмосфера веселья, народ отдыхает полную катушку. диджеям респект грамотный подбор музыки, потанцевать вечерами. коктейли баре вкусные, закусок, напитков лояльным ценам. ехать пляжа недалеко центра. советую, будете феодосии, не поленитесь доехать, точно не разочаруетесь. ",25 августа 2022
14,10," очень рекомендую отдыха южную косу. ( мирный 5 мин) шикарный пляж рядом мелкое,чистое озеро. любителей спокойного отдыха детьми друзьями. не пожалеете!!! ",21 августа 2022
15,10," пляж понравился. очень строгие требования пляжам - комфорт безопасность должны главе угла. 117й соответствует всем пунктам, медик пляже, спасатели, уборка течение дня. дно хорошее, детьми безопасно, никаких течений, камней неадекватных посетителей. развлечений достаточно, цены везде крыму. ",21 августа 2022
16,9," любите крым, люблю я! читаю отзывы думаю :а той евпатории была? той евпатории мои друзья, которые приехали туда впервые, те, которые отдыхают лет? дорого? да. юбк не дешевле. это юг! подмосковье, живу, ценники зашкаливают. взрослые и, планируя отдых, наверное изучить ценник. хотят кушать. поводу отношений людьми, всем известно, дряни везде хватает,или живёте сказке. крым не однозначный, очень тёплый,красивый, дружелюбный многие годы родной. лично не против турции анапы, нравится, езжайте. каждый находит ищет, был. ",18 августа 2022
17,10," алупка очаровывает . лучшее место юбк.! ездим 10 лет. пробовали отдыхать других местах крыму. везде хорошо, алупка особенная. уютном городке . море парк близость достопримечательностей. потрясающая природа виды горы. понимаю, почему губернатор воронцов именно заложил свой дворец! дворец - шедевр! красоте гулять каждый день совершенно бесплатно, не скажешь другие парки крыма. удивительной красоты дно- рай тех, любит любоваться подводным миром. нашем любимом детском пляже разнообразное купание каждый день . огромные камни защищают пляж волн купаться получать удовольствие любой шторм. того, шторм особенно радуются все. волны, ударяясь камни , дают густую пену массу пузырьков. восторге все: дети взрослые! всем рекомендую хотя приехать городок насладиться атмосферой красотой. ",15 августа 2022
18,2," дорого всем плевать приехали, подошли кассу, оказалось, оплата наличными, причем кассе оплачивается пешая прогулка, хотите ехать транспорте, нужно договориться где-то внутри. никакой информации ценах транспорт возле кассы нет.в здании снаружи банкомат, нем не работает мирпэй, помощью телефона деньги карты не снимете. мобильный интернет возле парка не работает. открытой точки wifi нет.мы приехали жару солнцепек, ходить пешком никакого желания не было. налички немного, пешую прогулку, отсутствие информации оптимизма не прибавляло. пополнить карту накопительного счета не получается из-за отсутствия интернета.в общем плюнули уехали. сервис входе районе 0. дальше идти не захотелось. ",13 августа 2022
19,10," морем воздухом - точно сюда! любим евпаторию шесть лет подряд приезжаем сюда шикарным воздухом чудесным морем! ребёнок перестал болеть, мужа затянулись раны пальцах рук ног, искренне рекомендую! погулять ровным тротуарам, поесть подешевле номер недорого, точно не сюда! ещё плюс - неустойчивый интернет, информационный детокс вашим детям точно обеспечен! 😉 ",12 августа 2022
20,10," рада, приехала сюда. второй год отдыхала пляже sunrise. впечатления остаются хорошие. пляж чистый уютный. спокойно. перекусить выпить коктейль. думаю, вернусь сюда ещё не раз. ",06 августа 2022
21,1," судак - средняя азия крыму. года подряд отдыхали гурзуфе году решили поменять локацию. выбрали судак стартовым местом основным отдыхом поповке очень пожалели своем выборе.остановились гостинице алчак кая, сходу объявили, забыли нашу бронь предложили номер второй свежести . счастью хозяин достаточно быстро решил вопрос номер, который бронировали, освобождён. хотя фото выглядел гораздо приятнее, , возможно, решает ракурс, хз.улицы квартала ачиклар подходы морю оставили тяжёлое впечатление - пыль, грязь, стройка, пьяные шашлычники продаваны самодельного алкоголя.хотелось дойти моря смыть весь негатив, море вечер против нас. шторма прибрежье водорослях, окурках, медуза всем тем, море благодарно возвращает нам.в общем хватило ровно вечер. шесть утра выехали поповку, благо приняли раньше брони дня.вывод: судак ногой. нашли? ",27 июля 2022
22,4," евпатория?! отдых?! это?! добрый день! сами краснодара, хотели посмотреть красоты крыма, наткнулись полное невежество, хамство, обман, быдлячество , мошенничество. плюсы отдыхе, это прекрасна архитектура, городок тихий милый. люди?! вами?! сначала решили зайти аптеку-музей, поздоровались провизором, это вызвало возмущение, надо??? зашли помещение, просто поздоровались, культурные люди, это получается ненормально. приставалы улице, требующие свои фотографии 4800?! куда?! что?! ладно, сказать, это бизнес людей… каждый крутится. покушать, особо не где.. цены средние, выбор себе. скажете, не искали.в довершение прекрасная записка автомобиле?! думала, прошли времена, нет… прекрасные впечатления евпатории. ",15 июля 2022
23,10," особенное место крыму. форос - это особенное место крыму, отдыхал гагарин. также другие исторические герои. дача не даром президентская. выделяется санаторий форос, видно сразу спуске пгт. отдыхали несколько раз. современный санаторий новейшей мед базой. подлечат проблем. природа санатории - это нечто. санаторий находится самом форосском парке. территория охраняема, парк время реставрируют украины. ",13 июня 2022
